MonthYear_Date,ActionGeo_CountryCode,count
201610,BN,3311
201705,BD,1998
201705,SI,1825
201507,BB,3384
201509,GT,7541
201503,PP,2277
201505,AE,19915
201504,SU,17202
201708,SH,25
201610,TV,290
201507,PC,40
201503,FQ,4
201508,VM,28132
201502,DJ,578
201608,GH,33877
201608,SP,22876
201702,TU,64519
201702,TS,5582
201507,HO,3353
201511,RS,167004
201611,SA,31905
201708,IN,227984
201706,US,1721186
201511,KV,2862
201511,EZ,7252
201509,SG,3825
201509,UV,8796
201510,WE,19357
201511,VT,2526
201605,WE,7447
201609,YM,14146
201602,CY,7256
201610,GH,33727
201709,TV,92
201610,IV,2459
201502,SO,7531
201507,KG,5279
201507,NG,4783
201606,IC,3217
201510,MN,845
201708,DR,1581
201608,TO,1129
201505,SI,982
201506,LO,2364
201508,RN,75
201503,MB,100
201512,PF,9
201502,SV,25
201508,GG,2796
201508,DR,2666
201508,LA,2093
201502,DA,5267
201608,TU,115875
201608,UG,21114
201602,CB,10719
201702,CF,4047
201703,UY,1413
201512,FG,191
201611,VE,9138
201706,OS,1950
201511,MK,5518
201509,VT,3982
201510,GT,4530
201510,TS,6510
201511,KZ,5473
201606,MZ,3408
201605,PM,15545
201607,MR,1806
201704,MU,4322
201606,FP,208
201506,YM,22612
201610,YI,118
201502,OC,204
201510,MU,4257
201604,JO,15269
201601,SU,17119
201607,GH,29831
201706,GV,1370
201509,EK,570
201603,UZ,3208
201608,LH,2322
201610,CI,4945
201604,KZ,5043
201601,SI,1343
201505,LI,7913
201606,GP,45
201503,CS,2575
201601,FK,29
201507,AC,839
201506,AM,14238
201505,NR,739
201609,NT,36
201707,NT,14
201706,SH,8
201611,NT,25
201610,BQ,2
201708,TK,4
201508,AU,14143
201508,TI,3701
201701,CE,16330
201702,WI,711
201703,ZI,22410
201610,UK,314501
201611,DA,8836
201603,BL,1921
201603,JO,17415
201603,PL,14464
201707,ML,3082
201706,LI,6132
201503,NL,18282
201601,EI,40623
201610,MO,9382
201610,HO,2924
201509,OC,417
201709,EK,396
201708,LE,20282
201707,LO,1488
201707,NU,1348
201510,AE,19102
201707,MZ,1979
201609,MO,7271
201602,EI,44493
201608,DR,2363
201510,MR,713
201509,TS,4186
201511,BT,2156
201602,NC,177
201512,AQ,208
201702,MR,828
201607,AV,183
201604,NT,32
201601,TK,9
201602,LS,170
201606,FK,80
201606,SC,204
201502,DR,959
201608,JE,6328
201702,SA,31712
201702,OD,6798
201702,AJ,15474
201511,WA,5877
201602,IN,240714
201603,CO,9464
201603,MC,869
201707,MN,1148
201706,RP,86615
201509,ER,2901
201509,JO,18647
201601,MK,3401
201611,GZ,1607
201606,SG,3463
201609,CE,19625
201709,PM,3383
201602,IV,2222
201704,SW,17672
201603,NC,236
