MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201603,02,PK,7325
201509,02,PO,364
201606,02,GL,74
201507,03,PO,478
201709,01,BM,2987
201706,03,TU,3669
201511,02,NO,745
201606,02,HU,585
201702,03,JM,642
201503,03,JM,705
201511,01,JM,1948
201709,01,GT,465
201605,01,GY,1285
201709,01,AE,1234
201704,02,BG,1961
201704,02,VM,1705
201703,02,GA,368
201504,01,GR,4842
201611,01,PL,2023
201612,03,TH,1499
201508,01,GR,5296
201608,01,TW,1556
201708,02,MP,78
201609,03,UG,1042
201708,03,MU,491
201703,03,RO,1035
201506,02,BC,357
201510,02,ET,642
201612,02,SW,821
201612,01,LG,457
201502,03,FR,2475
201502,02,RB,90
201704,02,LI,424
201703,01,ML,391
201609,03,KV,137
201511,01,RI,570
201610,03,NH,76
201507,01,EZ,1068
201511,01,AO,545
201510,03,AL,188
201509,02,MZ,214
201607,03,MU,281
201702,03,TD,320
201507,03,OD,421
201503,02,FJ,455
201507,02,MR,68
201704,03,WZ,72
201610,03,MP,82
201508,03,MU,429
201706,01,LI,910
201611,01,GZ,181
201507,01,KG,400
201509,03,MD,181
201511,01,MD,213
201705,03,RM,46
201504,03,ER,96
201708,02,PA,50
201506,03,OD,283
201611,01,ST,192
201707,02,LT,113
201503,03,RB,231
201610,03,GI,109
201504,02,JE,472
201511,01,WS,256
201604,02,IV,115
201707,01,IV,243
201611,02,WZ,101
201706,03,SC,15
201704,02,MR,32
201603,02,WS,121
201607,03,LS,35
201504,02,VC,19
201502,03,SL,131
201601,02,MZ,197
201606,03,,11971
201606,01,TD,1116
201601,03,BC,295
201606,03,PO,727
201509,01,KR,151
201607,01,LU,348
201508,01,BF,1104
201610,01,DA,1566
201503,02,BM,769
201610,01,TN,104
201504,02,RW,591
201702,03,BT,155
201607,03,DJ,146
201510,01,CD,583
201510,01,CJ,410
201706,01,BN,295
201508,03,AL,130
201605,03,AC,34
201504,03,BE,1152
201612,02,BB,240
201604,02,KT,14
201610,01,PS,48
201605,02,AN,8
201506,03,WS,136
201706,03,LS,12
201612,03,FG,23
201602,02,SM,3
201509,03,SM,4
201611,03,TK,1
201708,03,TT,20
201502,19,HO,43
201702,19,MT,210
201507,19,UP,4095
