ActionGeo_CountryCode,MentionTimeDate,count
MY,201602,130870
GJ,201604,2399
LH,201605,9233
GI,201605,6382
BA,201609,21257
KR,201610,461
AM,201611,33996
GK,201611,4739
CA,201701,702070
MV,201701,4433
SZ,201702,95142
GT,201704,25108
MO,201707,21297
MA,201707,2252
KV,201708,3624
AU,201709,13060
WI,201507,404
RN,201611,244
SO,201710,556
PA,201709,1880
NR,201701,3041
TP,201706,143
CE,201510,70002
BG,201512,105470
BK,201601,2750
MG,201706,6614
VQ,201710,44
PF,201505,42
YI,201711,20
KN,201503,83528
ET,201506,27032
TX,201506,8392
SP,201507,136451
NL,201507,81161
FJ,201511,13722
TN,201512,986
MG,201603,6889
MJ,201610,7050
AU,201610,39226
BD,201701,3431
CT,201702,6728
CD,201702,11211
MD,201702,4482
SL,201703,13317
KS,201707,123817
CD,201707,14868
OD,201708,18659
AA,201506,1117
SM,201604,204
AC,201502,764
FO,201511,125
SV,201606,192
BY,201601,40959
BR,201602,144703
SN,201602,70406
BR,201606,78493
BE,201704,63700
CH,201705,625629
OC,201607,760
IO,201602,24
LQ,201602,2
HQ,201702,2
JM,201503,40968
NI,201504,493698
EG,201506,279243
BY,201506,53884
SW,201507,70199
VT,201507,5646
CY,201508,16967
RP,201509,214561
KZ,201509,14343
MJ,201509,2044
KS,201601,170748
CJ,201601,3236
ID,201602,143905
SP,201603,149698
SE,201603,3109
UG,201604,44224
SY,201606,403756
KZ,201606,18027
KN,201608,113727
WZ,201608,4604
KZ,201609,10615
NL,201609,60951
LI,201610,18381
AM,201612,33741
YM,201612,66518
NL,201612,71229
AC,201701,2592
GI,201704,16302
WE,201704,29469
GG,201704,7028
ET,201705,26750
AJ,201705,23078
NZ,201706,81902
OC,201707,682
GV,201707,2841
RS,201711,4037
FJ,201711,203
YI,201508,272
YI,201611,196
TP,201702,71
MB,201502,44
SU,201511,44736
AQ,201605,845
KU,201606,30309
RW,201702,19764
SZ,201710,1135
TD,201710,76
ES,201502,3688
GJ,201503,6959
SF,201506,247126
EI,201506,182938
NL,201506,89106
FG,201508,168
CO,201511,24744
EI,201512,128314
VE,201603,32542
PL,201603,67426
TO,201603,1311
BU,201604,35386
AU,201604,61253
GB,201604,4725
NS,201604,811
MP,201606,2698
AS,201607,958936
GI,201607,4760
BH,201608,14442
BK,201609,4816
BO,201610,18486
RE,201611,1205
JE,201701,22071
ER,201702,4224
MU,201702,13223
BG,201705,77743
LH,201705,8996
UV,201706,5071
BX,201708,18442
UV,201708,17792
RN,201709,2146
DO,201505,680
CN,201703,135
AV,201505,477
AV,201504,487
MF,201603,204
YI,201603,1540
EI,201605,159339
NE,201604,901
SN,201606,94661
AA,201608,554
LT,201611,5339
TZ,201708,17826
GJ,201711,10
MF,201508,88
SM,201612,75
CS,201711,20
TX,201711,52
KV,201711,23
HA,201502,9610
NL,201502,22007
LI,201504,31617
BD,201504,4803
TD,201505,16417
VI,201506,597
GJ,201506,2600
CU,201508,143511
GG,201508,5417
GI,201508,6115
RB,201509,32912
TS,201509,13166
UZ,201510,8832
RS,201511,810110
ZI,201604,61138
CU,201605,103376
MX,201606,238176
VE,201607,37232
CO,201607,24584
ER,201607,7149
LG,201607,6484
RP,201609,393272
CJ,201701,2358
NO,201702,37590
ES,201702,9348
PK,201703,329458
IZ,201703,288871
MA,201703,2983
IN,201706,727688
ES,201707,18282
WE,201707,55274
BP,201707,1314
CY,201709,7763
BL,201709,4180
GP,201709,19050
AA,201601,652
CQ,201608,54
AF,201710,3139
