MentionSourceName,ActionGeo_CountryCode,Number_Mentions
indiatimes.com,HU,1073
indiatimes.com,AE,4831
indiatimes.com,LE,705
onlinenigeria.com,EK,150
france24.com,AV,8
theguardian.com,VC,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,ET,1173
theguardian.com,GV,195
washingtonpost.com,,26371
indiatimes.com,MG,590
washingtonpost.com,VQ,85
france24.com,WI,27
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
france24.com,VE,2387
france24.com,PL,1609
theguardian.com,AV,34
indiatimes.com,TO,37
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
france24.com,CU,1703
theguardian.com,RB,217
theguardian.com,IM,5
france24.com,MA,88
onlinenigeria.com,JA,1020
onlinenigeria.com,CI,91
onlinenigeria.com,LG,27
onlinenigeria.com,AJ,24
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,MN,113
indiatimes.com,OD,443
washingtonpost.com,SG,425
washingtonpost.com,WI,48
washingtonpost.com,TX,107
indiatimes.com,KZ,935
france24.com,VI,21
theguardian.com,AN,5
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
indiatimes.com,SW,2122
france24.com,TU,10552
theguardian.com,MY,1330
france24.com,AF,3368
washingtonpost.com,HA,1610
onlinenigeria.com,MI,134
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
france24.com,UG,494
indiatimes.com,PO,1692
france24.com,TI,72
onlinenigeria.com,SL,189
theguardian.com,AA,4
onlinenigeria.com,GP,6
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,UG,1244
theguardian.com,TO,9
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
france24.com,SA,4037
france24.com,SY,13145
theguardian.com,RQ,258
theguardian.com,CT,232
washingtonpost.com,IC,238
indiatimes.com,LS,32
indiatimes.com,BA,688
france24.com,LH,216
onlinenigeria.com,TN,24
washingtonpost.com,FO,7
france24.com,WZ,2
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,GL,168
theguardian.com,KZ,198
onlinenigeria.com,,23538
indiatimes.com,AY,148
onlinenigeria.com,BB,45
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
onlinenigeria.com,PK,1552
france24.com,IV,515
indiatimes.com,VI,50
france24.com,BO,225
theguardian.com,FJ,114
france24.com,RN,5
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,JA,3650
france24.com,HR,375
france24.com,TX,97
theguardian.com,CY,288
theguardian.com,EK,27
france24.com,SH,2
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,RP,1509
washingtonpost.com,JE,784
france24.com,NZ,455
france24.com,NO,687
washingtonpost.com,SL,241
theguardian.com,YI,14
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
indiatimes.com,RS,23981
onlinenigeria.com,BR,867
indiatimes.com,MD,54
onlinenigeria.com,CT,96
france24.com,BL,208
washingtonpost.com,LS,26
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,RO,1463
washingtonpost.com,HR,571
theguardian.com,LE,740
indiatimes.com,MZ,537
theguardian.com,SL,357
theguardian.com,MC,48
theguardian.com,PG,13
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,IZ,5529
theguardian.com,VE,654
indiatimes.com,EZ,706
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,US,598535
indiatimes.com,IS,11574
indiatimes.com,AS,10005
washingtonpost.com,SF,2705
washingtonpost.com,MK,721
theguardian.com,EZ,408
france24.com,DA,517
theguardian.com,TW,433
onlinenigeria.com,IV,223
theguardian.com,DJ,120
indiatimes.com,GV,132
washingtonpost.com,KR,37
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
france24.com,IS,10611
washingtonpost.com,GY,157
france24.com,HU,1011
france24.com,CF,560
onlinenigeria.com,CV,12
indiatimes.com,GQ,139
theguardian.com,EN,149
onlinenigeria.com,AM,52
washingtonpost.com,AN,27
onlinenigeria.com,FP,5
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,TS,1221
washingtonpost.com,PM,684
theguardian.com,MG,93
onlinenigeria.com,GV,168
onlinenigeria.com,EI,1079
washingtonpost.com,VC,27
onlinenigeria.com,ES,105
indiatimes.com,BC,136
washingtonpost.com,BC,38
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,MX,11444
indiatimes.com,MP,1791
theguardian.com,KT,84
indiatimes.com,TW,2196
onlinenigeria.com,BA,119
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
france24.com,SP,3057
washingtonpost.com,ML,1093
france24.com,GB,235
theguardian.com,MA,151
indiatimes.com,LO,175
theguardian.com,NC,24
france24.com,NH,13
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,SN,876
washingtonpost.com,CD,766
france24.com,AY,36
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,CA,5537
theguardian.com,SF,2856
washingtonpost.com,BG,2835
france24.com,IT,3804
