MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,CM,145136,233
indiatimes.com,CM,145136,283
onlinenigeria.com,CM,145136,627
france24.com,CM,145136,275
washingtonpost.com,CM,145136,427
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,MJ,27760,220
france24.com,MJ,27760,93
indiatimes.com,MJ,27760,36
onlinenigeria.com,MJ,27760,15
theguardian.com,MJ,27760,34
france24.com,RW,247494,386
washingtonpost.com,RW,247494,704
theguardian.com,RW,247494,499
indiatimes.com,RW,247494,229
onlinenigeria.com,RW,247494,223
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
france24.com,FR,2821917,26143
washingtonpost.com,FR,2821917,15121
indiatimes.com,FR,2821917,14497
theguardian.com,FR,2821917,14237
onlinenigeria.com,FR,2821917,4565
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
france24.com,AJ,387021,178
theguardian.com,AJ,387021,232
washingtonpost.com,AJ,387021,347
onlinenigeria.com,AJ,387021,22
indiatimes.com,AJ,387021,151
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,DA,269619,1281
theguardian.com,DA,269619,1187
france24.com,DA,269619,509
indiatimes.com,DA,269619,1488
onlinenigeria.com,DA,269619,221
theguardian.com,KQ,9,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,CH,4837175,46415
france24.com,CH,4837175,7366
washingtonpost.com,CH,4837175,18930
theguardian.com,CH,4837175,11628
onlinenigeria.com,CH,4837175,3863
indiatimes.com,MG,67544,471
france24.com,MG,67544,128
theguardian.com,MG,67544,93
washingtonpost.com,MG,67544,187
onlinenigeria.com,MG,67544,26
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,TN,24451,12
washingtonpost.com,TN,24451,30
theguardian.com,TN,24451,11
france24.com,TN,24451,13
onlinenigeria.com,TN,24451,20
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,GQ,91566,401
indiatimes.com,GQ,91566,106
theguardian.com,GQ,91566,84
onlinenigeria.com,GQ,91566,14
france24.com,GQ,91566,67
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,NU,57397,273
indiatimes.com,NU,57397,89
theguardian.com,NU,57397,127
france24.com,NU,57397,111
onlinenigeria.com,NU,57397,23
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,KT,3785,84
onlinenigeria.com,KT,3785,1
washingtonpost.com,KT,3785,5
indiatimes.com,KT,3785,1
france24.com,KT,3785,3
indiatimes.com,TL,1262,2
theguardian.com,ZI,681718,877
washingtonpost.com,ZI,681718,1209
indiatimes.com,ZI,681718,354
onlinenigeria.com,ZI,681718,12582
france24.com,ZI,681718,353
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,GR,970467,6807
theguardian.com,GR,970467,4345
washingtonpost.com,GR,970467,4669
france24.com,GR,970467,3335
onlinenigeria.com,GR,970467,904
washingtonpost.com,UP,895054,3133
france24.com,UP,895054,2123
theguardian.com,UP,895054,1388
indiatimes.com,UP,895054,1883
onlinenigeria.com,UP,895054,338
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,GI,34212,45
theguardian.com,GI,34212,154
washingtonpost.com,GI,34212,67
onlinenigeria.com,GI,34212,59
france24.com,GI,34212,60
onlinenigeria.com,PA,36742,11
france24.com,PA,36742,65
theguardian.com,PA,36742,171
