MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
kenyastar.com,SW,480991,45
chinadaily.com.cn,SW,480991,193
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,AV,9012,34
dailytelegraph.com.au,AV,9012,2
france24.com,AV,9012,7
washingtonpost.com,AV,9012,6
thehindu.com,AV,9012,3
gulfnews.com,AV,9012,2
timesofisrael.com,AV,9012,2
japantimes.co.jp,AV,9012,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
thejakartapost.com,BU,235893,54
washingtonpost.com,BU,235893,266
timesofisrael.com,BU,235893,222
theguardian.com,BU,235893,217
chinadaily.com.cn,BU,235893,108
france24.com,BU,235893,252
rt.com,BU,235893,128
dailytelegraph.com.au,BU,235893,52
gulfnews.com,BU,235893,140
kenyastar.com,BU,235893,92
thehindu.com,BU,235893,102
japantimes.co.jp,BU,235893,44
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,CG,59921,251
thehindu.com,CG,59921,30
france24.com,CG,59921,272
gulfnews.com,CG,59921,159
washingtonpost.com,CG,59921,195
chinadaily.com.cn,CG,59921,20
japantimes.co.jp,CG,59921,26
kenyastar.com,CG,59921,25
timesofisrael.com,CG,59921,2
rt.com,CG,59921,4
thejakartapost.com,CG,59921,8
dailytelegraph.com.au,CG,59921,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
thehindu.com,HR,130969,67
washingtonpost.com,HR,130969,538
theguardian.com,HR,130969,246
france24.com,HR,130969,361
thejakartapost.com,HR,130969,42
japantimes.co.jp,HR,130969,89
kenyastar.com,HR,130969,9
timesofisrael.com,HR,130969,133
gulfnews.com,HR,130969,164
dailytelegraph.com.au,HR,130969,80
rt.com,HR,130969,81
chinadaily.com.cn,HR,130969,53
rt.com,LI,223531,36
theguardian.com,LI,223531,173
kenyastar.com,LI,223531,88
washingtonpost.com,LI,223531,358
france24.com,LI,223531,79
chinadaily.com.cn,LI,223531,62
gulfnews.com,LI,223531,72
thehindu.com,LI,223531,63
dailytelegraph.com.au,LI,223531,17
japantimes.co.jp,LI,223531,60
timesofisrael.com,LI,223531,35
thejakartapost.com,LI,223531,9
washingtonpost.com,SV,4237,10
gulfnews.com,SV,4237,10
france24.com,SV,4237,11
rt.com,SV,4237,13
dailytelegraph.com.au,SV,4237,15
theguardian.com,SV,4237,24
thehindu.com,SV,4237,10
japantimes.co.jp,SV,4237,5
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,BX,191453,413
thejakartapost.com,BX,191453,463
france24.com,BX,191453,117
chinadaily.com.cn,BX,191453,855
rt.com,BX,191453,77
gulfnews.com,BX,191453,180
japantimes.co.jp,BX,191453,650
dailytelegraph.com.au,BX,191453,158
theguardian.com,BX,191453,202
thehindu.com,BX,191453,203
kenyastar.com,BX,191453,19
timesofisrael.com,BX,191453,12
thehindu.com,NP,472433,3118
washingtonpost.com,NP,472433,1035
dailytelegraph.com.au,NP,472433,414
chinadaily.com.cn,NP,472433,550
japantimes.co.jp,NP,472433,269
gulfnews.com,NP,472433,1106
timesofisrael.com,NP,472433,323
theguardian.com,NP,472433,673
thejakartapost.com,NP,472433,280
france24.com,NP,472433,282
rt.com,NP,472433,52
kenyastar.com,NP,472433,90
timesofisrael.com,WE,282978,5759
thejakartapost.com,WE,282978,134
france24.com,WE,282978,544
thehindu.com,WE,282978,117
washingtonpost.com,WE,282978,965
gulfnews.com,WE,282978,656
rt.com,WE,282978,221
japantimes.co.jp,WE,282978,101
chinadaily.com.cn,WE,282978,31
theguardian.com,WE,282978,311
kenyastar.com,WE,282978,10
dailytelegraph.com.au,WE,282978,65
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,TU,2613410,12298
theguardian.com,TU,2613410,6135
dailytelegraph.com.au,TU,2613410,2411
thejakartapost.com,TU,2613410,2005
timesofisrael.com,TU,2613410,6086
france24.com,TU,2613410,10097
gulfnews.com,TU,2613410,7815
japantimes.co.jp,TU,2613410,2946
rt.com,TU,2613410,6778
thehindu.com,TU,2613410,2552
chinadaily.com.cn,TU,2613410,1300
kenyastar.com,TU,2613410,548
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,SO,538616,2199
japantimes.co.jp,SO,538616,485
chinadaily.com.cn,SO,538616,232
gulfnews.com,SO,538616,942
dailytelegraph.com.au,SO,538616,328
france24.com,SO,538616,704
theguardian.com,SO,538616,944
rt.com,SO,538616,190
kenyastar.com,SO,538616,1495
thejakartapost.com,SO,538616,164
thehindu.com,SO,538616,453
timesofisrael.com,SO,538616,257
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,VQ,21045,81
france24.com,VQ,21045,3
timesofisrael.com,VQ,21045,7
theguardian.com,VQ,21045,8
rt.com,VQ,21045,3
chinadaily.com.cn,VQ,21045,2
